miRNA	bladder	breast_cancer	cervical	head n neck	KIRC	KIRP	LUAD	LUSC	PRAD	STAD	THCA	UCEC	
hsa-mir-3128	0.0	0.0	0.118438	0.0	0.0	0.0	0.0	0.298948	0.0	0.0	0.0	0.0	
hsa-mir-3658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-217	1.771178	25.559522	12.08064	7.97718	1.456229	153.204962	26.312068	13.452661	13.037025	11.906129	8.118091	12.426311	
hsa-mir-22	11618.929609	74313.291426	79215.956963	112291.438292	63164.404335	68641.746313	36959.527811	99379.294202	18928.775005	40059.333577	38197.645875	29573.48671	
hsa-mir-612	0.0	0.22619	0.0	0.0	0.0	0.113907	0.0	0.0	0.438219	0.0	0.0	0.03777	
hsa-mir-206	0.33022	0.452381	0.473751	17.28389	0.48541	3.758932	0.0	0.0	0.109555	0.957964	0.405905	0.0	
hsa-mir-3944	0.0	0.452381	0.118438	0.664765	0.0	0.227814	1.174646	0.298948	0.0	0.273704	0.202952	0.03777	
hsa-mir-4283-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-503	0.42028	7.916666	6.395633	3.323825	139.797953	13.327123	2.349292	4.185272	0.21911	1.094816	7.509234	4.683473	
hsa-mir-3672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1228	0.06004	2.035714	0.829064	0.664765	0.970819	0.227814	0.234929	1.195792	0.328665	0.273704	0.405905	0.339929	
hsa-mir-499	0.06004	0.0	0.0	0.0	0.48541	0.911256	0.234929	0.0	0.0	0.0	0.405905	0.03777	
hsa-mir-103-1	1903.596387	10804.891957	8302.242463	20092.521992	10864.922169	7460.682993	20926.081414	27761.510022	3935.209708	5816.349195	12721.453901	3798.145345	
hsa-mir-548w	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3689b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-522	0.0	6.333333	0.0	4.653355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-519c	0.0	0.678571	0.0	0.0	0.0	0.0	0.0	0.298948	0.0	0.0	0.0	0.0	
hsa-mir-1294	0.03002	0.22619	0.0	0.0	0.0	0.113907	2.584221	0.0	0.0	0.136852	0.608857	0.0	
hsa-mir-600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136852	0.0	0.0	
hsa-mir-224	0.600399	52.702377	119.622028	51.186905	55.33669	1.13907	3.289008	50.821165	1.752877	13.000945	10.147613	2.417276	
hsa-mir-4260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-550b-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-548o	0.03002	2.261905	0.355313	0.664765	0.48541	0.0	0.469858	0.896844	0.0	0.957964	0.405905	0.07554	
hsa-mir-4314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-521-2	0.0	0.904762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-18a	0.39026	24.202379	14.449393	21.27248	11.649829	1.708606	9.162238	17.936882	1.205103	7.116307	1.623618	1.888497	
